Price,Distance
2.31,200000
18.46,58000
7.66,90000
1.23,90000
7.85,140000
2.31,10000
8.28,38000
16.92,20000
1.85,200000
11.35,50000
3.08,180000
28.92,10000
5.85,130000
6.31,80000
12.46,50000
2.28,100000
22.77,100000
5.54,100000
5.38,70000
5.23,90000
8,200000
3.38,210000
10,70000
10,120000
6.31,80000
4.89,120000
20,30000
5.85,140000
10,40000
5.92,100000
6.43,150000
2.31,140000
7.38,80000
5.08,130000
5.38,55000
14.46,58000
2.15,10000
3.92,110000
13.85,80000
12.77,106000
13.35,86000
3.85,10000
7.69,69000
6.15,96000
7.38,93000
5.08,170000
3.05,10000
2.77,90000
7.38,64000
4.09,140000
3.23,160000
7.69,170000
7.69,100000
1.08,150000
6.92,110000
6.92,200000
1.85,10000
12.31,50000
1.54,200000
5.63,200000
5.85,120000
10.31,67000
2.15,220000
9.69,190000
7.69,80000
5.08,100000
4,160000
7.08,100000
7.38,100000
21.54,25000
8.46,80000
8,90000
12.62,90000
11.23,30000
10.77,10000
4.15,150000
10.77,169000
7.23,160000
9.69,27000
