Price,Distance
3.54,120000
9.23,160000
2.77,92000
5.54,200000
3.77,160000
5.54,200000
7.69,60000
6,180000
3.38,220000
2.54,230000
18.46,20000
6.74,80000
36.15,40000
1.85,150000
7.66,170000
3.38,80000
8.46,50000
3.54,10000
5.38,50000
7.38,150000
5.08,72000
21.54,70000
5.85,120000
5.08,60000
8.74,86000
5.38,140000
5.38,100000
2.34,200000
6.58,190000
2.31,69000
15.38,20000
2.31,150000
1.54,200000
2.46,240000
3.08,230000
5.2,140000
3.97,220000
5.77,150000
11.31,30000
0.86,10000
10.46,10000
2.54,10000
1.23,100000
12.77,30000
1.82,10000
6,80000
12,150000
7.38,117000
2.89,210000
13.08,80000
6.08,10000
5.2,10000
4,200000
1.23,12000
4.92,130000
15.38,10000
25.38,80000
7.38,120000
6.46,130000
7.15,55000
4.77,120000
2,160000
27.69,15000
9.54,15000
10.77,50000
5.62,65000
6,80000
1.85,10000
3.54,140000
8.92,155000
3.38,10000
2.31,100000
5.38,10000
2.15,130000
5.54,100000
2.54,100000
1.66,188000
19.38,46000
2.77,210000
8.28,200000
2.77,100000
14.89,83000
14.18,26000
7.08,190000
3.15,100000
10.77,91000
9.23,200000
6.46,99000
2.12,10000
1.77,180000
4.92,150000
8.46,120000
2.08,100000
4.62,130000
10,70000
13.08,150000
17.23,20000
30,10000
11.08,130000
11.85,90000
2.31,10000
7.08,60000
2.31,100000
2.43,150000
2.62,190000
4.31,90000
6.62,100000
20.15,39000
2.54,190000
7.38,10000
5.22,120000
17.38,25000
5.62,10000
5.66,80000
4.92,128000
5.38,130000
2.31,160000
5.85,71000
4.58,100000
17.38,60000
3.08,10000
0.62,210000
1.85,200000
14.92,46000
6.15,150000
2.31,190000
8.92,10000
3.51,180000
6.15,130000
5.85,160000
12.31,50000
13.69,80000
2.77,180000
3.05,100000
2.62,100000
5.38,130000
8.15,70000
12.31,15000
10.31,33000
8.46,10000
6.15,230000
2.46,50000
1.26,100000
16.92,110000
7.38,70000
3.63,80000
13.54,40000
4.31,110000
4,200000
23.69,80000
6.43,10000
5.85,120000
0.85,100000
3.69,140000
1.54,100000
10.15,58000
13.85,10000
1.23,10000
2.31,130000
8.46,30000
1.15,10000
5.92,180000
1.2,60000
20.77,55000
17.97,19000
10.62,110000
3.66,10000
5.97,130000
9.23,78000
5.85,80000
6,120000
21.38,33000
7.05,90000
14.92,40000
5.08,150000
2.46,200000
12.31,20000
5.08,120000
3.2,220000
4.62,75000
2.31,230000
7.08,180000
1.38,50000
12,98000
4,10000
23.08,10000
30.62,40000
5.92,10000
6.31,80000
15.38,10000
5.85,78000
4,130000
4,90000
3.08,170000
9.05,36000
3.08,10000
3.54,230000
26.92,38000
27.69,10000
3.54,210000
5.38,10000
27.05,49000
15.38,60000
3.35,79000
11.69,80000
3.69,60000
1.54,100000
4.62,150000
6.15,140000
5.97,110000
13.77,98000
4.54,150000
4,150000
1.85,100000
3.08,200000
5.54,93000
15.23,48000
4.43,10000
4,80000
2.31,150000
33.85,30000
36.62,10000
13.66,20000
6.92,100000
2.12,10000
13.85,82000
8.46,62000
2.62,200000
2,200000
1.54,80000
6.15,230000
15.08,26000
3.35,130000
12.77,50000
15.85,10000
4.14,150000
6,10000
2.89,150000
13.77,25000
3.54,10000
4.92,107000
7.38,120000
2,150000
6.46,140000
29.08,30000
6.15,39000
11.69,75000
3.69,200000
13.23,20000
24.58,50000
3.85,130000
9.82,31000
5.85,200000
8.92,60000
12.46,56000
7.69,220000
2.15,140000
6.15,100000
24.58,40000
23.08,90000
15.38,15000
2.77,100000
3.51,120000
14.46,50000
3.85,200000
8,20000
1.54,10000
5.97,102000
3.23,230000
7.23,110000
2.31,90000
2,200000
15.38,150000
9.48,130000
1.08,90000
5.05,180000
14.15,17000
2.31,200000
6.46,58000
5.38,170000
3.77,200000
6.46,100000
5.02,70000
4.92,82000
11.54,60000
5.92,190000
33.85,40000
4,160000
8.92,130000
2.31,200000
5.38,150000
4,200000
7.05,70000
5.38,50000
4.92,110000
7.69,170000
1.15,100000
11.08,93000
9.2,40000
6.74,120000
12.62,100000
10,36000
3.85,80000
1.31,100000
4.92,150000
11.23,100000
7.38,55000
3.08,10000
3.66,180000
6.92,130000
7.35,160000
4.62,110000
12,70000
8,130000
10,160000
29.23,150000
1.66,160000
5.38,115000
6.15,120000
5.38,17000
1.38,10000
10.46,21000
2.58,10000
4.62,100000
11.08,40000
3.66,150000
17.23,45000
6.15,80000
8.15,90000
25.85,180000
3.23,100000
7.54,58000
4.62,100000
2.31,200000
16.92,40000
6,100000
26.46,49000
5.54,77000
1.46,210000
8.62,74000
2.89,80000
4.62,100000
11.69,70000
7.54,72000
7.38,180000
35.08,26000
5.2,10000
2.77,235000
11.08,140000
9.54,33000
4.14,120000
5.85,140000
16.62,35000
4.31,96000
8.46,10000
14.62,40000
5.85,140000
1.85,180000
9.85,50000
1.46,10000
4,150000
4.62,210000
3.51,10000
5.38,100000
4.38,225000
2.12,100000
9.23,10000
2.77,200000
3.08,120000
12.28,60000
4.12,130000
15.38,10000
6.12,160000
1.15,160000
6.74,120000
6.46,110000
13.85,10000
10,80000
12.89,46000
1.23,200000
21.54,50000
2.77,200000
3,80000
17.85,54000
5.54,96000
3.38,200000
5.66,150000
22.62,50000
9.69,27000
8.46,85000
1.08,200000
12.14,160000
3.05,130000
1.05,120000
2.31,150000
9.23,28000
13.85,10000
5.63,10000
2.46,150000
4.31,170000
3.85,100000
9.54,23000
0.46,100000
2,180000
2.46,170000
7.54,120000
3.08,150000
6.58,98000
4.62,130000
8.15,140000
2.92,180000
8,110000
2.31,180000
2.77,210000
1.54,100000
6.31,90000
1.2,10000
5.62,110000
5.51,80000
6.46,150000
3.69,220000
6.15,130000
8,59000
9.08,100000
15.38,160000
8.92,110000
6.46,10000
5.31,200000
18.92,23000
7.08,90000
3.85,30000
8.15,120000
5.54,200000
7.69,150000
8,170000
3.69,90000
1.66,80000
12,170000
16.15,40000
16.74,10000
1.2,200000
32.31,10000
3.05,180000
18.15,28000
0.77,150000
3.82,200000
5.54,170000
10.62,46000
4.77,160000
5.54,150000
1.23,130000
4.15,130000
1.54,190000
3.05,110000
8.92,16000
11.46,80000
7.54,200000
7.38,60000
7.08,160000
3.85,112000
11.54,100000
8.62,80000
5.85,150000
12.31,70000
8.62,40000
3.54,140000
3.51,160000
14.89,42000
16.92,40000
1.26,200000
7.38,130000
12.12,63000
6.62,120000
1.31,200000
5.38,200000
3.05,160000
8.15,73000
2.92,230000
11.54,30000
8.31,10000
4.62,130000
13.08,94000
7.2,56000
2.31,230000
1.54,50000
6.31,90000
4.92,190000
4.86,150000
3.08,100000
6.46,120000
1.54,10000
6.15,130000
10.15,10000
1.85,106000
14.15,92000
6.46,110000
3.08,100000
4,138000
3.66,150000
2.31,200000
12,70000
7.38,160000
1.54,10000
5.85,110000
8.92,230000
1.05,100000
6.12,50000
6.69,100000
5.85,190000
5.66,130000
8.46,110000
23.08,75000
9.23,17000
7.69,155000
6.46,96000
5.35,80000
5.54,130000
2,100000
4.31,180000
3.08,11000
2.92,60000
2.77,200000
4.77,100000
6,200000
7.08,40000
11.54,10000
5.38,10000
15.85,20000
5.66,120000
10.77,13000
14.31,20000
1.54,10000
5.51,88000
0.38,150000
12.62,130000
3.08,10000
16.92,70000
6.92,110000
5.85,10000
6.46,150000
10.46,150000
7.66,180000
6.62,80000
6.15,120000
6.31,165000
21.54,40000
2.31,70000
5.54,10000
3.54,160000
2.77,170000
6,100000
4.89,150000
4.43,150000
6,30000
5.69,60000
1,120000
6.4,160000
8.15,10000
7.69,100000
11.42,156000
2.15,190000
5.23,80000
6.31,10000
14.62,10000
6.62,160000
8.92,90000
22.77,70000
1.54,10000
13.2,80000
11.08,70000
5.66,210000
3.08,80000
7.38,10000
0.77,150000
3.97,120000
3.66,90000
4.92,190000
2,230000
20,10000
4.62,80000
16.92,70000
2.77,200000
1.23,100000
4.31,120000
9.82,98000
14.31,53000
3.38,150000
0.92,100000
1.54,200000
2.31,200000
1.85,200000
16.15,180000
7.66,90000
7.38,10000
18.15,130000
9.23,76000
1.23,90000
10,76000
10.62,60000
12,56000
5.85,100000
7.69,40000
4.46,120000
2.31,170000
22.77,36000
5.69,95000
32,50000
7.69,220000
3.85,120000
7.23,100000
5.54,90000
6.46,80000
4.62,230000
2.46,230000
22.31,45000
6.92,70000
15.38,10000
7.05,140000
6.62,45000
2,100000
3.69,160000
25.85,150000
5.54,170000
4.31,200000
9.51,70000
1.54,140000
16.92,43000
22.46,28000
3.08,78000
6.12,140000
15.69,87000
6.12,140000
8.31,150000
9.08,150000
6.92,190000
4.92,60000
6.62,100000
4,200000
11.08,42000
5.35,82000
6.46,110000
9.23,90000
6.15,94000
0.92,10000
10,130000
3.85,200000
2.46,178000
5.69,80000
1.23,200000
9.92,40000
18.46,10000
28,36000
4.46,10000
5.54,85000
11.82,30000
10.58,60000
13.23,29000
0.77,200000
13.08,45000
6.08,100000
8.92,40000
5.38,170000
6,10000
3.85,120000
8.74,130000
9.23,90000
0.85,10000
8.15,60000
3.85,160000
5.2,80000
3.38,100000
5.54,150000
8.46,30000
13.85,100000
4.31,140000
6.15,90000
4.62,150000
5.92,120000
2.31,200000
12,170000
0.85,100000
8.77,43000
3.23,180000
19.69,10000
0.46,10000
0.62,10000
7.38,36000
24.62,80000
0.62,200000
12.31,10000
6.15,95000
6.15,170000
3.05,100000
